feature_id,area,feature,user_story,expected_behavior,entry_points,source_evidence,test_strategy,feature_status,test_status,last_tested,test_result,defects,fix_status,notes
US-001,Startup,Interactive TUI cold start,"As a developer, I can run AgenC with no prompt in a TTY and get the interactive terminal UI.","When stdin and stdout are TTYs and no routing flag forces headless mode, the CLI boots the Ink TUI with an empty composer.","agenc","runtime/src/bin/route.ts;runtime/src/bin/agenc.ts;runtime/src/tui/main.tsx","check:tui-runtime-startup;check:tui-e2e scenario 01-cold-start",Implemented,Passed,2026-06-22,"PASS: npm run build succeeded, then check:tui-runtime-startup imported dist/tui/main.js and cleanly spawned agenc in PTYs at 148x40, 120x30, and 80x24.",None known,Not needed,
US-002,Startup,TUI startup prompt,"As a developer, I can pass a prompt on the CLI and have it preloaded/submitted through the TUI path.","In an interactive TTY with argv prompt text, routing strips startup flags and boots the TUI with initialPrompt and startup image metadata.","agenc <prompt>","runtime/src/bin/route.ts;runtime/src/bin/agenc.ts","check:tui-e2e scenario 02-type-and-submit;scenario 44-yolo-cwd-context",Implemented,Passed,2026-06-22,"PASS: agenc.cli-branch contract verified TTY argv routes to bootTUI with initialPrompt; agenc.test verified bootTUI streams startup prompt/images as one daemon message.",None known,Not needed,
US-003,Startup,Print mode,"As a script author, I can run one-shot headless prompts and receive terminal output without the TUI.","-p or --print routes before TTY branches to the daemon-backed one-shot path with startup images preserved.","agenc -p <prompt>;agenc --print <prompt>","runtime/src/bin/route.ts;runtime/src/bin/agenc.ts","check:tui-e2e scenario 36-print-mode-basic;scenario 37-print-mode-yolo",Implemented,Passed,2026-06-22,"PASS: agenc.cli-branch and agenc.test contract coverage verified oneShotCLI routing/daemon prompt-agent behavior for non-TUI startup paths, including startup image forwarding.",None known,Not needed,
US-004,Startup,No-TUI mode,"As a script author, I can force one-shot mode even from an interactive terminal.","--no-tui routes to oneShotCLI after resume/continue/print handling and strips the flag from prompt text.","agenc --no-tui <prompt>","runtime/src/bin/route.ts","check:tui-e2e scenario 58-cli-no-tui-flag",Implemented,Passed,2026-06-22,"PASS: agenc.cli-branch verified --no-tui forces oneShotCLI in an interactive TTY and forwards startup images to oneShotCLI.",None known,Not needed,
US-005,Startup,Piped stdin one-shot,"As a shell user, I can pipe text into AgenC and avoid TUI escape output.","Non-TTY stdin routes to oneShotCLI; stdout non-TTY fallback also avoids the TUI.","echo text | agenc","runtime/src/bin/route.ts;runtime/src/bin/agenc.ts","check:tui-e2e scenario 55-stdin-not-tty",Implemented,Passed,2026-06-22,"PASS: agenc.cli-branch verified piped stdin plus argv routes to oneShotCLI and not bootTUI; project-trust-preflight covers piped one-shot trust preflight.",None known,Not needed,
US-006,Startup,Resume by session id,"As a returning user, I can resume a specific prior session in an interactive terminal.","--resume or -r with a non-empty id routes to resumeTUI; non-TTY resume returns exit 2 with a clear error.","agenc --resume <session-id>;agenc -r <session-id>","runtime/src/bin/route.ts;runtime/src/bin/resume-session.ts","check:tui-e2e scenario 57-cli-resume-no-session;unit route tests",Implemented,Passed,2026-06-22,"PASS: agenc.cli-branch verified --resume and --resume=<id> dispatch through resumeTUI and non-TTY resume classifies as error; resume-session tests covered latest/session id resolution.",None known,Not needed,
US-007,Startup,Continue latest session,"As a returning user, I can continue the latest project session.","--continue or -c routes to continueTUI separately from plain agenc, which starts fresh.","agenc --continue;agenc -c","runtime/src/bin/route.ts;runtime/src/bin/resume-session.ts","runtime/tests/commands/resume.test.ts;targeted CLI resume smoke",Implemented,Passed,2026-06-22,"PASS: agenc.cli-branch verified --continue dispatches through continueTUI; resume-session tests verified newest project session resolution for --continue.",None known,Not needed,
US-008,Startup,Provider and model overrides,"As a user, I can pick provider/model for this session without editing config.","--provider and --model are stripped from prompt text, read during startup selection, and applied to session configuration.","agenc --provider <name> --model <id>","runtime/src/bin/route.ts;runtime/src/bin/startup-selection.ts;runtime/src/bin/bootstrap.ts","runtime/tests/commands/model-options-xai.test.ts;runtime/tests/llm/provider-parity.test.ts",Implemented,Passed,2026-06-22,"PASS: bin-route verified consumed --model/--provider flags are stripped from prompt text; startup-selection tests verified provider/model resolution precedence; model-options-xai tests passed in targeted startup batch.",None known,Not needed,
US-009,Startup,Profile override,"As a user with named config profiles, I can select a profile for one run.","--profile is stripped from prompt text and read by startup selection/config resolution.","agenc --profile <name>","runtime/src/bin/route.ts;runtime/src/config/profiles.ts;runtime/src/bin/startup-selection.ts","targeted startup-selection unit tests;manual config profile smoke",Implemented,Passed,2026-06-22,"PASS: startup-selection and config profile coverage passed in the 37-file CLI batch with 581 tests, verifying --profile startup selection and profile-aware config resolution.",None known,Not needed,
US-010,Startup,Permission mode flags,"As a user, I can choose the startup approval behavior from the CLI.","--permission-mode accepts user-addressable modes; yolo/bypass flags map to bypass permissions behavior; unsafe skip flag bypasses approval prompts.","agenc --permission-mode <mode>;agenc --yolo;agenc --dangerously-bypass-approvals-and-sandbox;agenc --allow-dangerously-skip-permissions","runtime/src/bin/agenc.ts;runtime/src/permissions/types.ts;runtime/src/permissions/permission-mode.ts","runtime/tests/permissions/permission-mode.test.ts;check:tui-e2e scenario 54-yolo-footer-glyph",Implemented,Passed,2026-06-22,"PASS: permission-mode tests verified external/internal modes and cycling; check:tui-runtime-startup cleanly spawned agenc --yolo at three PTY sizes.",None known,Not needed,
